,city,total_spend
0,ABERDEEN,1322700
1,ARMAGH,263400
2,BANGOR,292000
3,BATH,1010400
4,BELFAST,2059400
5,BIRMINGHAM,9317900
6,BRADFORD,2060700
7,BRIGHTON & HOVE,7400
8,BRISTOL,5730400
9,CAMBRIDGE,1999200
10,CANTERBURY,623300
11,CARDIFF,3972600
12,CARLISLE,521900
13,CHELMSFORD,1290900
14,CHESTER,981400
15,CHICHESTER,660700
16,COLCHESTER,1764000
17,COVENTRY,2679000
18,DERBY,1821700
19,DONCASTER,1542300
20,DUNDEE,951500
21,DUNFERMLINE,317100
22,DURHAM,734900
23,EDINBURGH,5089600
24,ELY,354000
25,EXETER,1072100
26,GLASGOW,6293100
27,GLOUCESTER,891800
28,HEREFORD,559000
29,HULL,1492400
30,INVERNESS,342200
31,LANCASTER,324700
32,LEEDS,5167100
33,LEICESTER,4431700
34,LICHFIELD,419000
35,LINCOLN,973800
36,LISBURN,292000
37,LIVERPOOL,4155300
38,LONDON,103852900
39,LONDONDERRY,383700
40,MANCHESTER,9344200
41,MILTON KEYNES,2484200
42,NEWCASTLE-UPON-TYNE,10900
43,NEWPORT,1047500
44,NEWRY,535300
45,NORTHERN IRELAND,2069700
46,NORWICH,2259000
47,NOTTINGHAM,4200200
48,OTHER,264926700
49,OXFORD,1095200
50,PERTH,349500
51,PETERBOROUGH,1701400
52,PLYMOUTH,931900
53,PORTSMOUTH,804000
54,PRESTON,2044900
55,RIPON,120100
56,SALFORD,1040700
57,SALISBURY,780200
58,SHEFFIELD,3500900
59,SOUTHAMPTON,2376600
60,SOUTHEND-ON-SEA,495300
61,ST ALBANS,478100
62,ST ASAPH,34900
63,ST DAVIDS,6300
64,STIRLING,325600
65,STOKE ON TRENT,302600
66,SUNDERLAND,567900
67,SWANSEA,1217800
68,TRURO,419300
69,WAKEFIELD,879600
70,WELLS,255700
71,WESTMINSTER,50000
72,WINCHESTER,613900
73,WOLVERHAMPTON,1907600
74,WORCESTER,867900
75,WREXHAM,580800
76,YORK,1728500
